frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
35,1765888720343,0.0241747,0.0172301,-0.00417916,0.9367,-0.203013,-0.134289,-0.251683,0.0419862,-0,0,2.98023e-08,0.00476019,0,0.999989,0.0299928,-0,0,-6.33299e-08,0.107268,-5.96046e-08,0.99423,0.0252377,-0,0,0,0,0,1
36,1765888720376,0.0241747,0.0172301,-0.00417916,0.923684,-0.236489,-0.116207,-0.278165,0.0419862,-0,0,3.35276e-08,0.00770649,0,0.99997,0.0299928,-0,0,0,0.218767,2.98023e-08,0.975777,0.0252377,-0,0,0,0,0,1
37,1765888720410,0.0241747,0.0172301,-0.00417916,0.909861,-0.250124,-0.103022,-0.314608,0.0419862,-0,0,2.23517e-08,0.00942678,-1.49012e-08,0.999956,0.0299928,-0,0,-3.72529e-09,0.311213,-5.96047e-08,0.95034,0.0252377,-0,0,0,0,0,1
38,1765888720443,0.0241747,0.0172301,-0.00417916,0.903798,-0.254433,-0.097261,-0.33008,0.0419862,-0,0,-5.21541e-08,0.00954211,5.96046e-08,0.999954,0.0299928,-0,0,5.58794e-08,0.34058,-5.96047e-08,0.940216,0.0252377,-0,0,0,0,0,1
39,1765888720476,0.0241747,0.0172301,-0.00417916,0.9047,-0.260155,-0.0944552,-0.323908,0.0419862,-0,0,5.96046e-08,0.00945246,1.78814e-07,0.999955,0.0299928,-0,0,-3.72529e-08,0.347422,-1.78814e-07,0.937709,0.0252377,-0,0,0,0,0,1
40,1765888720510,0.0241747,0.0172301,-0.00417916,0.90406,-0.260277,-0.0916425,-0.326393,0.0419862,-0,0,2.98023e-08,0.00975551,5.96046e-08,0.999952,0.0299928,-0,0,-2.6077e-08,0.354783,2.98023e-08,0.934949,0.0252377,-0,0,0,0,0,1
41,1765888720543,0.0241747,0.0172301,-0.00417916,0.90402,-0.262221,-0.0889982,-0.325679,0.0419862,-0,0,-5.96046e-08,0.00972367,-1.78814e-07,0.999953,0.0299928,-0,0,-2.23517e-08,0.353247,2.98023e-07,0.93553,0.0252377,-0,0,0,0,0,1
42,1765888720576,0.0241747,0.0172301,-0.00417916,0.904885,-0.261498,-0.0876255,-0.324227,0.0419862,-0,0,2.98023e-08,0.0102217,2.98023e-08,0.999948,0.0299928,-0,0,7.07805e-08,0.353314,-2.98023e-08,0.935505,0.0252377,-0,0,0,0,0,1
43,1765888720609,0.0241747,0.0172301,-0.00417916,0.907478,-0.257261,-0.0858359,-0.32083,0.0419862,-0,0,-1.49012e-08,0.0103809,-8.9407e-08,0.999946,0.0299928,-0,0,-8.19564e-08,0.339555,-2.98023e-08,0.940586,0.0252377,-0,0,0,0,0,1
44,1765888720643,0.0241747,0.0172301,-0.00417916,0.92938,-0.221097,-0.09341,-0.280435,0.0419862,-0,0,-3.35276e-08,0.00860534,-7.45058e-08,0.999963,0.0299928,-0,0,2.6077e-08,0.197111,1.19209e-07,0.980381,0.0252377,-0,0,0,0,0,1
